Latitude,Longitude,crime_density_norm
41.644589713,-87.939732936,0.0
41.644589713,-87.93806545183132,0.00593171014504972
41.644589713,-87.93639796766264,0.011831378348498805
41.644589713,-87.93473048349398,0.01769892499590362
41.644589713,-87.9330629993253,0.023534270865580093
41.644589713,-87.93139551515662,0.029337337138286748
41.644589713,-87.92972803098795,0.03510804537978808
41.644589713,-87.92806054681928,0.04084631755510597
41.644589713,-87.9263930626506,0.04655207603261932
41.644589713,-87.92472557848193,0.05222524357307309
41.644589713,-87.92305809431325,0.057865743352363906
41.644589713,-87.92139061014457,0.0634734989350916
41.644589713,-87.9197231259759,0.06904843430500424
41.644589713,-87.91805564180723,0.07459047384430997
41.644589713,-87.91638815763855,0.08009954234714399
41.644589713,-87.91472067346987,0.08557556502217548
41.644589713,-87.91305318930121,0.09101846748448854
41.644589713,-87.91138570513253,0.09642817576651215
41.644589713,-87.90971822096385,0.10180461631880969
41.644589713,-87.90805073679518,0.10714771600696002
41.644589713,-87.9063832526265,0.11245740211170771
41.644589713,-87.90471576845783,0.11773360234524456
41.644589713,-87.90304828428916,0.12297624483499688
41.644589713,-87.90138080012048,0.12818525812754938
41.644589713,-87.8997133159518,0.13336057120960332
41.644589713,-87.89804583178314,0.13850211348181957
41.644589713,-87.89637834761446,0.14360981478269583
41.644589713,-87.89471086344578,0.1486836053750475
41.644589713,-87.8930433792771,0.15372341595908484
41.644589713,-87.89137589510844,0.15872917766522876
41.644589713,-87.88970841093976,0.1637008220583759
41.644589713,-87.88804092677108,0.1686382811445469
41.644589713,-87.8863734426024,0.17354148736712666
41.644589713,-87.88470595843373,0.17841037360583153
41.644589713,-87.88303847426506,0.18324487318651844
41.644589713,-87.88137099009639,0.18804491987728902
41.644589713,-87.87970350592771,0.19281044788477328
41.644589713,-87.87803602175903,0.19754139186838732
41.644589713,-87.87636853759037,0.20223768693727046
41.644589713,-87.87470105342169,0.20689926863905472
41.644589713,-87.87303356925301,0.21152607298364265
41.644589713,-87.87136608508433,0.2161180364250282
41.644589713,-87.86969860091565,0.22067509587402487
41.644589713,-87.86803111674699,0.22519718869436353
41.644589713,-87.86636363257831,0.22968425270751922
41.644589713,-87.86469614840964,0.23413622619162233
41.644589713,-87.86302866424096,0.23855304788729667
41.644589713,-87.8613611800723,0.24293465699307826
41.644589713,-87.85969369590362,0.247280993164924
41.644589713,-87.85802621173494,0.25159199653208536
41.644589713,-87.85635872756626,0.2558676076794834
41.644589713,-87.85469124339758,0.2601077676629153
41.644589713,-87.85302375922892,0.26431241800584254
41.644589713,-87.85135627506024,0.2684815006962142
41.644589713,-87.84968879089156,0.27261495819758447
41.644589713,-87.84802130672288,0.2767127334420505
41.644589713,-87.84635382255422,0.2807747698314228
41.644589713,-87.84468633838554,0.28480101124728774
41.644589713,-87.84301885421687,0.2887914020442858
41.644589713,-87.84135137004819,0.2927458870537666
41.644589713,-87.83968388587951,0.2966644115833379
41.644589713,-87.83801640171085,0.3005469214230951
41.644589713,-87.83634891754217,0.30439336283796536
41.644589713,-87.83468143337349,0.30820368258038006
41.644589713,-87.83301394920481,0.3119778278837219
41.644589713,-87.83134646503615,0.3157157464677659
41.644589713,-87.82967898086747,0.31941738652690754
41.644589713,-87.82801149669879,0.3230826967538922
41.644589713,-87.82634401253011,0.32671162632966855
41.644589713,-87.82467652836145,0.33030412491303424
41.644589713,-87.82300904419277,0.3338601426621367
41.644589713,-87.8213415600241,0.33737963022315715
41.644589713,-87.81967407585542,0.3408625387364889
41.644589713,-87.81800659168674,0.3443088198318977
41.644589713,-87.81633910751808,0.3477184256388822
41.644589713,-87.8146716233494,0.3510913087747764
41.644589713,-87.81300413918072,0.35442742236359726
41.644589713,-87.81133665501204,0.3577267200196663
41.644589713,-87.80966917084338,0.36098915586187796
41.644589713,-87.8080016866747,0.36421468450277417
41.644589713,-87.80633420250602,0.3674032610607777
41.644589713,-87.80466671833734,0.3705548411540788
41.644589713,-87.80299923416867,0.37366938090629476
41.644589713,-87.80133175,0.3767468369429793
41.644589713,-87.79966426583132,0.37978716639365645
41.644589713,-87.79799678166265,0.3827903269009825
41.644589713,-87.79632929749397,0.3857562766027391
41.644589713,-87.7946618133253,0.3886849741571697
41.644589713,-87.79299432915663,0.3915763787223591
41.644589713,-87.79132684498795,0.3944304499707178
41.644589713,-87.78965936081927,0.3972471480882141
41.644589713,-87.7879918766506,0.40002643376468094
41.644589713,-87.78632439248193,0.40276826820935724
41.644589713,-87.78465690831325,0.40547261314152594
41.644589713,-87.78298942414457,0.4081394307994328
41.644589713,-87.7813219399759,0.41076868393205934
41.644589713,-87.77965445580723,0.4133603358081635
41.644589713,-87.77798697163855,0.41591435020869844
41.644589713,-87.77631948746988,0.4184306914400283
41.644589713,-87.7746520033012,0.4209093243221783
41.644589713,-87.77298451913252,0.4233502141936129
41.644589713,-87.77131703496386,0.4257533269174411
41.644589713,-87.76964955079518,0.4281186288766109
41.644589713,-87.7679820666265,0.43044608697729464
41.644589713,-87.76631458245782,0.4327356686415366
41.644589713,-87.76464709828916,0.4349873418269705
41.644589713,-87.76297961412048,0.4372010750021249
41.644589713,-87.7613121299518,0.4393768371711714
41.644589713,-87.75964464578313,0.44151459786024605
41.644589713,-87.75797716161446,0.44361432712213555
41.644589713,-87.75630967744578,0.44567599553668036
41.644589713,-87.7546421932771,0.4476995742100323
41.644589713,-87.75297470910843,0.449685034779245
41.644589713,-87.75130722493975,0.45163234940945735
41.644589713,-87.74963974077109,0.4535414907947218
41.644589713,-87.74797225660241,0.4554124321670109
41.644589713,-87.74630477243373,0.4572451472753842
41.644589713,-87.74463728826505,0.4590396104121322
41.644589713,-87.74296980409639,0.4607957963979508
41.644589713,-87.74130231992771,0.4625136805880021
41.644589713,-87.73963483575903,0.4641932388685952
41.644589713,-87.73796735159036,0.46583444765886284
41.644589713,-87.73629986742168,0.46743728391896666
41.644589713,-87.73463238325301,0.4690017251388771
41.644589713,-87.73296489908434,0.4705277493456466
41.644589713,-87.73129741491566,0.4720153351023695
41.644589713,-87.72962993074698,0.47346446150774224
41.644589713,-87.72796244657832,0.4748751081997811
41.644589713,-87.72629496240964,0.4762472553531047
41.644589713,-87.72462747824096,0.47758088368367996
41.644589713,-87.72295999407228,0.4788759744379437
41.644589713,-87.7212925099036,0.4801325094095629
41.644589713,-87.71962502573494,0.4813504709263574
41.644589713,-87.71795754156626,0.4825298418619941
41.644589713,-87.71629005739759,0.4836706056247805
41.644589713,-87.71462257322891,0.48477274616202054
41.644589713,-87.71295508906024,0.48583624797070885
41.644589713,-87.71128760489157,0.48686109608148864
41.644589713,-87.70962012072289,0.4878472760718868
41.644589713,-87.70795263655421,0.48879477405250193
41.644589713,-87.70628515238553,0.48970357669118064
41.644589713,-87.70461766821687,0.4905736711840998
41.644589713,-87.70295018404819,0.491405045279302
41.644589713,-87.70128269987951,0.4921976872644213
41.644589713,-87.69961521571084,0.4929515859712522
41.644589713,-87.69794773154217,0.4936667307793723
41.644589713,-87.6962802473735,0.49434311160181904
41.644589713,-87.69461276320482,0.49498071890975576
41.644589713,-87.69294527903614,0.49557954370709123
41.644589713,-87.69127779486747,0.49613957755432014
41.644589713,-87.6896103106988,0.4966608125440957
41.644589713,-87.68794282653012,0.49714324132165666
41.644589713,-87.68627534236144,0.4975868570779116
41.644589713,-87.68460785819276,0.49799165354679914
41.644589713,-87.6829403740241,0.4983576250072666
41.644589713,-87.68127288985542,0.49868476628566494
41.644589713,-87.67960540568674,0.4989730727573465
41.644589713,-87.67793792151807,0.49922254033905694
